163	theodore rex	jonathan r. betuel	fantasy/buddy	1h 32m	19%	1995	n/a	TRUE	n/a
164	trapped in paradise	george gallo	romance/adventure/comedy	1h 51m	10%	1994	n/a	TRUE	n/a
165	assault of the party nerds	richard gabai	comedy	1h 25m	11%	1989	n/a	FALSE	n/a
166	cave girl 	david oliver	fantasy/romance/comedy	1h 25m	14%	1985	n/a	TRUE	n/a
167	inseminoid	norman j. warren	sci-fi/indie/horror	1h 33m	15%	1981	horror planet	FALSE	n/a
168	2019, after the fall of new york	sergio martino	sci-fi/action	1h 36m	59%	1983	n/a	TRUE	n/a
169	space raiders	howard r. cohen	action/adventure/sci-fi	1h 24m	21%	1983	n/a	FALSE	n/a
170	caravan of courage: an ewok adventure	john korty	fantasy/adventure/sci-fi	3h 10m	23%	1984	n/a	FALSE	n/a
171	ewoks: the battle for endor	jim wheat, ken wheat	fantasy/action	1h 34m	51%	1985	n/a	FALSE	n/a
172	real genius	martha coolidge	indie/teen	1h 46m	75%	1985	n/a	FALSE	n/a
173	zombi 3	lucio fulci, bruno mattei, claudio fragasso	sci-fi/action	1h 36m	24%	1988	zombie flesh eaters 2	FALSE	n/a
174	zombie 4: after death	claudio fragasso	drama/zombie	1h 25m	12%	1989	n/a	FALSE	n/a
175	beyond darkness	claudio fragasso	horror	1h 35m	12%	1990	la casa 5	FALSE	n/a
176	cruel jaws	bruno mattei	thriller/action	1h 36m	14%	1995	n/a	FALSE	n/a
177	robowar	bruno mattei	sci-fi/action	1h 32m	43%	1988	n/a	FALSE	n/a
178	shocking dark	bruno mattei	action/sci-fi	1h 30m	19%	1989	terminator 2/alienator/aliens 3	FALSE	n/a
179	the pod people	juan piquer simón	sci-fi	1h 40m	21%	1983	los nuevos extraterrestres/extra terrestrial visitors	FALSE	n/a
180	the final sacrifice 	tjardus greidanus	fantasy/adventure	1h 18m	24%	1990	quest for the lost city	FALSE	n/a
181	congo 	frank marshall	action/mystery	1h 49m	22%	1995	n/a	TRUE	n/a
182	invaders from mars 	tobe hooper	sci-fi/horror	1h 40m	36%	1986	n/a	FALSE	n/a
183	the paperboy 	douglas jackson	thriller/indie	1h 37m	37%	1994	n/a	FALSE	n/a
184	the order of the black eagle 	worth keeter	action/adventure	1h 33m	35%	1987	n/a	FALSE	n/a
185	c.h.u.d 	douglas cheek	drama/sci-fi	1h 36m	29%	1984	n/a	TRUE	n/a
186	c.h.u.d 2 	david irving	horror/comedy	1h 24m	22%	1989	n/a	TRUE	n/a
187	total recall 	paul verhoeven	fantasy/sci-fi/mystery	1h 53m	82%	1990	n/a	FALSE	n/a
188	bad medicine 	harvey miller	comedy	2h 36m	27%	1985	n/a	FALSE	n/a
189	chopper chicks in zombietown 	dan hoskins	thriller/indie	1h 26m	42%	1989	n/a	FALSE	n/a
190	deathsport 	roger corman, allan arkush	indie/action	1h 22m	27%	1978	n/a	FALSE	n/a
191	the black hole 	gary nelson	action/adventure 	1h 38m	43%	1979	n/a	FALSE	n/a
192	the swamp thing	wes craven	fantasy/sci-fi	1h 32m	67%	1982	n/a	FALSE	n/a
193	crossworlds 	krishna rao	action/adventure	1h 31m	20%	1996	n/a	FALSE	n/a
194	final exam 	jimmy huston	slasher/teen	1h 30m	14%	1981	n/a	FALSE	n/a
195	the pit 	lew lehman	thriller/mystery	1h 41m	36%	1981	teddy	FALSE	n/a
196	junior 	ivan reitman	sci-fi/romance	1h 50m	36%	1994	n/a	TRUE	n/a
197	twins 	ivan reitman	buddy/comedy	1h 47m	44%	1988	n/a	TRUE	n/a
198	the last action hero 	john mctiernan	fantasy/action	2h 11m	36%	1993	n/a	TRUE	n/a
199	night hunter 	rick jacobson	drama/action	1h 26m	20%	1996	n/a	FALSE	n/a
200	ed 	bill couturié	sport/comedy	1h 35m	22%	1996	n/a	TRUE	n/a
201	cyber zone 	fred olen ray	action/sci-fi	1h 30m	30%	1995	n/a	TRUE	n/a
202	national lampoon's senior trip 	kelly makin	teen/comedy	1h 31m	55%	1995	n/a	FALSE	n/a
203	it's pat 	adam bernstein	comedy/slapstick	1h 18m	28%	1994	n/a	FALSE	n/a
204	son of the mask 	lawrence guterman	fantasy/action	1h 34m	6%	2005	n/a	FALSE	n/a
205	chairman of the board 	alex zamm	comedy/slapstick	1h 35m	13%	1998	n/a	TRUE	n/a
206	little nicky	steven brill	fantasy/romance	1h 30m	22%	2000	n/a	FALSE	n/a
207	freddy got fingered 	tom green	thriller/action	1h 33m	10%	2001	n/a	TRUE	n/a
208	lost in space 	stephen hopkins	action/adventure/sci-fi	2h 10m	28%	1998	n/a	FALSE	n/a
209	alone in the dark 	uwe boll	fantasy/sci-fi 	1h 39m	1%	2005	n/a	TRUE	n/a
210	ghost dad 	sidney poitier	drama/comedy	1h 23m	7%	1990	n/a	TRUE	n/a
211	hudson hawk 	michael lehmann	action/adventure	1h 40m	26%	1991	n/a	FALSE	n/a
212	guyver 2: dark hero 	steve wang	action/horror/sci-fi	2h 8m	61%	1994	n/a	FALSE	n/a
213	harry and the hendersons 	william dear	fantasy/buddy	1h 51m	42%	1987	n/a	TRUE	n/a
214	evil ed 	anders jacobsson	horror/comedy	1h 36m	48%	1995	n/a	FALSE	n/a
215	weekend at bernie's ii	robert klane	farce/buddy	1h 37m	10%	1993	n/a	TRUE	n/a
216	halloween iii: season of the witch 	tommy lee wallace	fantasy/mystery	1h 39m	42%	1982	n/a	TRUE	n/a
217	steel 	kenneth johnson	action/superhero	1h 37m	12%	1997	n/a	FALSE	n/a
218	soul man 	steve miner	teen/comedy	1h 45m	14%	1986	n/a	TRUE	n/a
219	elves	jeffrey mandel	horror	1h 29m	30%	1989	n/a	FALSE	n/a
220	frogs 	george mccowan	mystery/sci-fi	1h 31m	29%	1972	n/a	FALSE	n/a
221	blankman 	mike binder	action/adventure/superhero	1h 36m	13%	1994	n/a	FALSE	n/a
222	night of the lepus 	william f. claxton	thriller/horror	1h 28m	8%	1972	n/a	FALSE	n/a
223	titanic 2 	shane van dyke	action/adventure	1h 30m	15%	2010	n/a	FALSE	n/a
224	short circuit 	john badham	fantasy/action/sci-fi	1h 39m	58%	1986	n/a	FALSE	n/a
225	volcano 	mick jackson	drama/disaster	1h 44m	50%	1997	n/a	FALSE	n/a
226	mr. nanny 	michael gottlieb	comedy/family	1h 24m	7%	1993	n/a	FALSE	n/a
227	mom and dad save the world 	greg beeman	adventure/comedy/sci-fi	1h 31m	9%	1992	n/a	FALSE	n/a
228	monkeybone 	henry selick	fantasy/action/adventure	1h 33m	19%	2001	n/a	FALSE	n/a
229	mannequin 	michael gottlieb	fantasy/indie	1h 30m	19%	1987	n/a	TRUE	n/a
230	mannequin 2: on the move 	stewart raffill	fantasy/indie	1h 35m	13%	1991	n/a	TRUE	n/a
231	invisible child 	joan micklin silver	television/melodrama	1h 33m	50%	1999	n/a	FALSE	n/a
232	the invisible kid 	avery crounse	comedy/sci-fi	1h 37m	40%	1988	n/a	FALSE	n/a
233	the spookies 	genie joseph, thomas doran, brendan faulkner	horror	1h 25m	19%	1986	n/a	FALSE	n/a
234	howling iii	philippe mora	indie/horror	1h 38m	17%	1987	n/a	FALSE	n/a
235	howling iv: the original nightmare	john hough	indie/horror	1h 34m	16%	1988	n/a	FALSE	n/a
236	howling v: the rebirth	neal sundstrom	indie/horror	1h 36m	25%	1989	n/a	FALSE	n/a
237	howling vi: the freaks	hope perello	indie/horror	1h 42m	18%	1991	n/a	FALSE	n/a
238	howling: new moon rising	clive j. turner	horror	1h 30m	11%	1995	n/a	FALSE	n/a
